Energy[keV] 	Flux[ph/keV/s]
1.47175e+2	2.63078e-6
1.47316e+2	4.29963e-6
1.47421e+2	6.20207e-6
1.47527e+2	8.94628e-6
1.47632e+2	1.29047e-5
1.47738e+2	1.86146e-5
1.47844e+2	2.68509e-5
1.47950e+2	3.87315e-5
1.48056e+2	5.58689e-5
1.48161e+2	8.05890e-5
1.48268e+2	1.16247e-4
1.51735e+2	1.56153e-4
1.52249e+2	2.44576e-4
1.54364e+2	4.70842e-4
1.56834e+2	7.25953e-4
1.60311e+2	1.14493e-3
1.60801e+2	2.53113e-3
1.60916e+2	3.65106e-3
1.61031e+2	5.26654e-3
1.61146e+2	7.59680e-3
1.61262e+2	1.09581e-2
1.61912e+2	1.83780e-3
1.62642e+2	1.83624e-2
1.62779e+2	2.83116e-2
1.64082e+2	3.57448e-2
1.65483e+2	5.94007e-2
1.68172e+2	1.03769e-1
1.70858e+2	1.58226e-1
1.75313e+2	2.25716e-1
1.84498e+2	3.72397e-1
2.08210e+2	5.33066e-1
2.45685e+2	5.94454e-1
2.89811e+2	5.62072e-1
3.41841e+2	5.14824e-1
4.03170e+2	4.46537e-1
4.75582e+2	4.22853e-1
5.21793e+2	4.64159e-1
5.31596e+2	6.38550e-1
5.40719e+2	3.87922e-1
5.55378e+2	3.44189e-1
5.95674e+2	3.74055e-1
7.02739e+2	3.74621e-1
8.28856e+2	3.33402e-1
9.77632e+2	3.00788e-1
1.15299e+3	2.57361e-1
1.35978e+3	2.17882e-1
1.60359e+3	1.80045e-1
1.89090e+3	1.41101e-1
2.22942e+3	1.03769e-1
2.62831e+3	7.29251e-2
2.98411e+3	4.93211e-2
3.26339e+3	3.45739e-2
3.56872e+3	2.39686e-2
3.90275e+3	1.68955e-2
4.30001e+3	1.16020e-2
4.88267e+3	8.32544e-3
5.71412e+3	6.35404e-3
6.73995e+3	5.80233e-3
7.94751e+3	4.53353e-3
8.96110e+3	4.14365e-3
9.72352e+3	2.49625e-3
1.09578e+4	1.74017e-3
1.28210e+4	1.18736e-3
1.51150e+4	8.36970e-4
1.78186e+4	5.74989e-4
2.06955e+4	4.25284e-4
2.40346e+4	2.99883e-4
2.83382e+4	2.23565e-4
3.34207e+4	1.89271e-4
3.94214e+4	1.74943e-4
4.65000e+4	1.62435e-4
5.48564e+4	1.60480e-4
6.47123e+4	1.55930e-4
7.63344e+4	1.46990e-4
9.00468e+4	1.40890e-4
1.04647e+5	1.41174e-4
1.21784e+5	2.87437e-4
1.43640e+5	2.55810e-4
1.69385e+5	2.06328e-4
1.99706e+5	1.50138e-4
2.30189e+5	1.05193e-4
2.57470e+5	7.37987e-5
2.85839e+5	5.26431e-5
3.19688e+5	3.53418e-5
3.60261e+5	2.43484e-5
4.09045e+5	1.67824e-5
4.64483e+5	1.21994e-5
5.31342e+5	8.28657e-6
6.17055e+5	5.76389e-6
7.21979e+5	3.95015e-6
8.51406e+5	3.22488e-6
9.67156e+5	2.83550e-6
