energy [MeV]	effective_area [cm^2]
1.54029e-1	1.50732e+0
1.57384e-1	1.96728e+0
1.62879e-1	2.49688e+0
1.68865e-1	3.17224e+0
1.74109e-1	4.05635e+0
1.80501e-1	5.18895e+0
1.86109e-1	6.61465e+0
1.92946e-1	8.42640e+0
1.98754e-1	1.06943e+1
2.05492e-1	1.36259e+1
2.12646e-1	1.76390e+1
2.20454e-1	2.25459e+1
2.27099e-1	2.83942e+1
2.34800e-1	3.61016e+1
2.42753e-1	4.62423e+1
2.51207e-1	5.97279e+1
2.60437e-1	7.59954e+1
2.68524e-1	9.72146e+1
2.77703e-1	1.23858e+2
3.02254e-1	2.06926e+2
2.86162e-1	1.55939e+2
3.42850e-1	2.66584e+2
3.86490e-1	3.25443e+2
4.35733e-1	3.88568e+2
4.82927e-1	4.48119e+2
5.83769e-1	4.62676e+2
7.05710e-1	4.72025e+2
8.53086e-1	4.85830e+2
1.01642e+0	4.68267e+2
1.24778e+0	4.23171e+2
1.50923e+0	3.86265e+2
