energy[MeV]	Flux[MeV/cm^2/s]
3.89189e-01	2.56906e-06
4.84710e-01	2.25314e-06
6.03666e-01	1.96020e-06
7.51942e-01	1.86063e-06
9.36735e-01	1.86273e-06
1.16695e+00	1.87388e-06
1.45375e+00	1.88815e-06
1.81103e+00	1.89640e-06
2.25610e+00	1.89854e-06
2.81059e+00	1.91608e-06
3.50142e+00	1.95260e-06
4.36197e+00	1.96747e-06
5.43397e+00	1.97606e-06
6.76941e+00	1.98149e-06
8.43316e+00	1.99980e-06
1.05049e+01	1.92599e-06
1.30841e+01	1.75870e-06
1.62969e+01	1.61374e-06
2.02980e+01	1.46173e-06
2.52815e+01	1.32618e-06
3.14890e+01	1.21098e-06
3.92207e+01	1.10759e-06
4.88501e+01	1.00488e-06
6.08465e+01	9.34029e-07
7.57951e+01	9.05381e-07
9.44147e+01	8.70566e-07
1.17613e+02	8.53452e-07
1.46545e+02	9.45857e-07
1.82614e+02	1.10740e-06
2.27561e+02	1.29654e-06
2.83570e+02	1.51552e-06
3.53366e+02	1.77722e-06
4.40340e+02	2.08076e-06
5.48720e+02	2.43220e-06
6.83780e+02	2.85680e-06
8.52074e+02	3.33393e-06
1.06179e+03	3.89704e-06
1.32314e+03	4.57736e-06
1.64879e+03	5.33325e-06
2.05461e+03	6.25418e-06
2.31646e+03	6.57911e-06
