Energy[MeV]	A_eff[cm^2]
1.58489e-1	2.35694e+0
1.65308e-1	3.34315e+0
1.70742e-1	4.30851e+0
1.78240e-1	5.94101e+0
1.84851e-1	7.88305e+0
1.91853e-1	1.03694e+1
1.99718e-1	1.40018e+1
2.06704e-1	1.85802e+1
2.14419e-1	2.42813e+1
2.20967e-1	3.18073e+1
2.31141e-1	4.38115e+1
2.39451e-1	5.69637e+1
2.47090e-1	7.49312e+1
2.58466e-1	1.03219e+2
2.67507e-1	1.37086e+2
2.76301e-1	1.76734e+2
2.89023e-1	2.43388e+2
2.99132e-1	3.22973e+2
3.18202e-1	4.95127e+2
5.01438e-1	8.78255e+2
1.00000e+0	8.07275e+2
1.58850e+0	6.21725e+2
