energy[eV]	flux[erg/cm^2/s]
8.88289e-5	3.98643e-14
9.27573e-5	5.05797e-14
1.00210e-4	6.16737e-14
1.16237e-4	7.81591e-14
1.29563e-4	1.00367e-13
1.55537e-4	1.39440e-13
1.68437e-4	1.86569e-13
1.81408e-4	2.50407e-13
2.00683e-4	3.31737e-13
2.22005e-4	4.09199e-13
2.41080e-4	5.14420e-13
2.62875e-4	6.67366e-13
2.86640e-4	8.51693e-13
3.12554e-4	1.11794e-12
3.50968e-4	1.43114e-12
3.95322e-4	1.92907e-12
4.75880e-4	2.56138e-12
5.35192e-4	3.26620e-12
6.09385e-4	4.10394e-12
7.61285e-4	5.18289e-12
8.61479e-4	6.37350e-12
1.15909e-3	8.04632e-12
1.52143e-3	9.92654e-12
2.16082e-3	1.19261e-11
2.93592e-3	1.42152e-11
4.46088e-3	1.73421e-11
7.18052e-3	2.08874e-11
1.20694e-2	2.48910e-11
2.21209e-2	2.98772e-11
4.82055e-2	3.60775e-11
1.19612e-1	4.21774e-11
3.09916e-1	4.61871e-11
8.02997e-1	4.57311e-11
2.06563e+0	4.01479e-11
6.40960e+0	2.93002e-11
8.97444e+0	2.41241e-11
1.28096e+1	2.00177e-11
1.74494e+1	1.66971e-11
2.45159e+1	1.37149e-11
3.44442e+1	1.12127e-11
4.52117e+1	9.22053e-12
6.35212e+1	7.49203e-12
8.59958e+1	6.11604e-12
1.15705e+2	5.03241e-12
1.46646e+2	4.14873e-12
2.04343e+2	3.37835e-12
2.85327e+2	2.69867e-12
3.79181e+2	2.19335e-12
4.45301e+2	1.86798e-12
6.19686e+2	1.52413e-12
9.40855e+2	1.18399e-12
1.61547e+3	9.11307e-13
3.55443e+3	7.94042e-13
1.05432e+4	1.02890e-12
2.30810e+4	1.27869e-12
4.67458e+4	1.58278e-12
9.01992e+4	1.92816e-12
1.67281e+5	2.36274e-12
2.81174e+5	2.77206e-12
4.93513e+5	3.37064e-12
8.66208e+5	4.12418e-12
1.43511e+6	4.93485e-12
2.40229e+6	5.99911e-12
3.50993e+6	7.12333e-12
5.18138e+6	8.44176e-12
8.27181e+6	1.00674e-11
1.26723e+7	1.24210e-11
2.13003e+7	1.54746e-11
2.88366e+7	1.83655e-11
4.44514e+7	2.17890e-11
7.15519e+7	2.62720e-11
1.20268e+8	3.16955e-11
2.11093e+8	3.76686e-11
4.60010e+8	4.53105e-11
1.19189e+9	5.05898e-11
2.95743e+9	4.62786e-11
5.91044e+9	3.83656e-11
8.85180e+9	3.25750e-11
1.26589e+10	2.71926e-11
1.74370e+10	2.19721e-11
2.37529e+10	1.74238e-11
2.85932e+10	1.42980e-11
3.48480e+10	1.19023e-11
4.42126e+10	9.47033e-12
4.78632e+10	7.72208e-12
5.85743e+10	6.61966e-12
6.89775e+10	5.21146e-12
8.28057e+10	4.09700e-12
9.11643e+10	3.26803e-12
1.00608e+11	2.66387e-12
1.12044e+11	2.18232e-12
1.35736e+11	1.69900e-12
1.67071e+11	1.32133e-12
1.92680e+11	1.08057e-12
2.17727e+11	9.08058e-13
2.58045e+11	7.25904e-13
3.13314e+11	5.73413e-13
4.28782e+11	4.53917e-13
5.80491e+11	3.67522e-13
8.20631e+11	2.99109e-13
1.16011e+12	2.50266e-13
1.64004e+12	2.09399e-13
2.44025e+12	1.78293e-13
3.47974e+12	1.42369e-13
4.38135e+12	1.18815e-13
5.59493e+12	9.92851e-14
6.83458e+12	7.74584e-14
8.50480e+12	6.03595e-14
1.01623e+13	4.79646e-14
1.25131e+13	3.82168e-14
