#rows	energy [keV]	diff_flux [ph/cm^2/s/keV]
#total integrated flux: 2.1358e-5 ph/cm^2/s

IP 	LIN	

DP	100.0			1.358237925153587e-07
DP	131.11339374215643	9.738607717652771e-08
DP	171.90722018585745	5.14525596580066e-08
DP	225.39339047347912	3.6979945352248e-08
DP	295.52092352028876	2.0991373289521842e-08
DP	387.4675120456132	1.525476263543266e-08
DP	508.0218046913023	8.43578535716843e-09
DP	666.0846290809154	6.227226881155977e-09
DP	873.3261623828438	3.4067555392198524e-09
DP	1145.0475699382812	2.4823951020579337e-09
DP	1501.3107289081743	1.4376820606363734e-09
DP	1968.4194472866113	1.0287275068018518e-09
DP	2580.861540418074	6.024496703969586e-10
DP	3383.8551534282333	3.93694902714583e-10
DP	4436.6873309786115	2.6963026615593907e-10
DP	5817.091329374358	1.747930592476873e-10
DP	7626.9858590234435	1.1363200452858992e-10
DP	10000.0	7.473396089155372e-11
DP	13111.33937421563	4.690682216860348e-11
DP	17190.722018585748	3.4145544444579044e-11
DP	22539.339047347934	2.0056112123532617e-11
DP	29552.092352028878	1.346970797302845e-11
DP	38746.75120456128	9.405040923737595e-12
DP	50802.180469130224	6.020803108225176e-12
DP	66608.46290809155	3.874415652470483e-12
DP	87332.61623828438	2.6086059444072386e-12
DP	114504.75699382812	1.5849204664304658e-12
DP	150131.07289081713	1.091561289131143e-12
DP	196841.94472866112	6.59484380351888e-13
DP	258086.15404180766	4.5327716889884207e-13
DP	338385.51534282335	3.2617288786556896e-13
DP	443668.73309786065	1.595221514112769e-13
DP	581709.1329374358	1.151274483515613e-13
DP	762698.5859023451	8.757219108258441e-14
DP	1000000.0	5.144355812284687e-14
